"FinancialYear","HBR","HBRQF","AgeGroup","Sex","Dataset","DatasetQF","DischargeCount","DischargeCountQF","DischargeRates","DischargeRatesQF","PatientsCount","PatientCountQF","PatientsRates","PatientRatesQF"
"1997/98","S92000003","d","0-17 years","Male","Total","d","780"," ","133.93"," ","700"," ","120.19"," "
"1997/98","S92000003","d","0-17 years","Female","Total","d","710"," ","127.25"," ","610"," ","109.33"," "
"1997/98","S92000003","d","18-24 years","Male","Total","d","2020"," ","913.05"," ","1360"," ","614.73"," "
"1997/98","S92000003","d","18-24 years","Female","Total","d","1310"," ","589.16"," ","860"," ","386.78"," "
"1997/98","S92000003","d","25-39 years","Male","Total","d","6450"," ","1123.62"," ","4240"," ","738.63"," "
"1997/98","S92000003","d","25-39 years","Female","Total","d","4900"," ","817.63"," ","3060"," ","510.6"," "
"1997/98","S92000003","d","40-64 years","Male","Total","d","7280"," ","968.46"," ","4930"," ","655.84"," "
"1997/98","S92000003","d","40-64 years","Female","Total","d","5390"," ","686.33"," ","3650"," ","464.77"," "
"1997/98","S92000003","d","65plus years","Male","Total","d","5080"," ","1623.35"," ","3400"," ","1086.49"," "
"1997/98","S92000003","d","65plus years","Female","Total","d","7860"," ","1650.94"," ","5570"," ","1169.94"," "
"1998/99","S92000003","d","0-17 years","Male","Total","d","780"," ","134.98"," ","700"," ","121.13"," "
"1998/99","S92000003","d","0-17 years","Female","Total","d","720"," ","130.22"," ","580"," ","104.9"," "
"1998/99","S92000003","d","18-24 years","Male","Total","d","1900"," ","871.51"," ","1300"," ","596.3"," "
"1998/99","S92000003","d","18-24 years","Female","Total","d","1360"," ","619.8"," ","890"," ","405.6"," "
"1998/99","S92000003","d","25-39 years","Male","Total","d","6520"," ","1151.78"," ","4260"," ","752.54"," "
"1998/99","S92000003","d","25-39 years","Female","Total","d","4900"," ","825.13"," ","3140"," ","528.75"," "
"1998/99","S92000003","d","40-64 years","Male","Total","d","7160"," ","940.53"," ","4880"," ","641.03"," "
"1998/99","S92000003","d","40-64 years","Female","Total","d","5480"," ","689.26"," ","3750"," ","471.67"," "
"1998/99","S92000003","d","65plus years","Male","Total","d","5180"," ","1640.55"," ","3520"," ","1114.82"," "
"1998/99","S92000003","d","65plus years","Female","Total","d","7900"," ","1656.77"," ","5590"," ","1172.32"," "
"1999/00","S92000003","d","0-17 years","Male","Total","d","740"," ","129.34"," ","660"," ","115.36"," "
"1999/00","S92000003","d","0-17 years","Female","Total","d","660"," ","120.6"," ","560"," ","102.33"," "
"1999/00","S92000003","d","18-24 years","Male","Total","d","2120"," ","968.26"," ","1470"," ","671.39"," "
"1999/00","S92000003","d","18-24 years","Female","Total","d","1250"," ","567.91"," ","850"," ","386.18"," "
