"FinancialYear","HBR","HBRQF","SIMD","Dataset","DatasetQF","DischargeCount","DischargeCountQF","DischargeRates","DischargeRatesQF","PatientsCount","PatientCountQF","PatientsRates","PatientRatesQF","HospitalResidentsCount","HospitalResidentsCountQF","HospitalResidentsRates","HospitalResidentsRatesQF"
"1997/98","S92000003","d",1,"SMR04"," ","10470"," ","981.04"," ","7020"," ","657.78"," ","2180"," ","204.27"," "
"1997/98","S92000003","d",2,"SMR04"," ","7750"," ","756.74"," ","5250"," ","512.63"," ","1660"," ","162.09"," "
"1997/98","S92000003","d",3,"SMR04"," ","5730"," ","563.41"," ","3990"," ","392.32"," ","1350"," ","132.74"," "
"1997/98","S92000003","d",4,"SMR04"," ","4160"," ","419.17"," ","2920"," ","294.23"," ","1440"," ","145.1"," "
"1997/98","S92000003","d",5,"SMR04"," ","3380"," ","344.01"," ","2370"," ","241.22"," ","900"," ","91.6"," "
"1998/99","S92000003","d",1,"SMR04"," ","10450"," ","992.02"," ","7110"," ","674.95"," ","2000"," ","189.86"," "
"1998/99","S92000003","d",2,"SMR04"," ","7540"," ","738.37"," ","5100"," ","499.43"," ","1590"," ","155.7"," "
"1998/99","S92000003","d",3,"SMR04"," ","5560"," ","548.8"," ","3920"," ","386.93"," ","1220"," ","120.42"," "
"1998/99","S92000003","d",4,"SMR04"," ","4400"," ","441.11"," ","3110"," ","311.79"," ","1360"," ","136.34"," "
"1998/99","S92000003","d",5,"SMR04"," ","3320"," ","334.71"," ","2340"," ","235.91"," ","860"," ","86.7"," "
"1999/00","S92000003","d",1,"SMR04"," ","10010"," ","965.47"," ","6890"," ","664.55"," ","1820"," ","175.54"," "
"1999/00","S92000003","d",2,"SMR04"," ","7440"," ","730.57"," ","5030"," ","493.92"," ","1490"," ","146.31"," "
"1999/00","S92000003","d",3,"SMR04"," ","5630"," ","555.89"," ","3910"," ","386.06"," ","1200"," ","118.49"," "
"1999/00","S92000003","d",4,"SMR04"," ","4390"," ","437.6"," ","3070"," ","306.02"," ","1290"," ","128.59"," "
"1999/00","S92000003","d",5,"SMR04"," ","3040"," ","303.77"," ","2200"," ","219.83"," ","800"," ","79.94"," "
"2000/01","S92000003","d",1,"SMR04"," ","9410"," ","921.37"," ","6440"," ","630.57"," ","1740"," ","170.37"," "
"2000/01","S92000003","d",2,"SMR04"," ","7430"," ","732.31"," ","5040"," ","496.75"," ","1440"," ","141.93"," "
"2000/01","S92000003","d",3,"SMR04"," ","5500"," ","543.7"," ","3800"," ","375.65"," ","1190"," ","117.64"," "
"2000/01","S92000003","d",4,"SMR04"," ","4490"," ","445.58"," ","3060"," ","303.67"," ","1220"," ","121.07"," "
"2000/01","S92000003","d",5,"SMR04"," ","3000"," ","297.69"," ","2120"," ","210.37"," ","760"," ","75.41"," "
"2001/02","S92000003","d",1,"SMR04"," ","9540"," ","941.91"," ","6310"," ","623"," ","1670"," ","164.88"," "
"2001/02","S92000003","d",2,"SMR04"," ","7220"," ","713.01"," ","4920"," ","485.87"," ","1380"," ","136.28"," "
"2001/02","S92000003","d",3,"SMR04"," ","5530"," ","546.19"," ","3790"," ","374.33"," ","1130"," ","111.61"," "
"2001/02","S92000003","d",4,"SMR04"," ","4130"," ","407.86"," ","2910"," ","287.38"," ","1140"," ","112.58"," "
"2001/02","S92000003","d",5,"SMR04"," ","2940"," ","290.03"," ","2090"," ","206.18"," ","720"," ","71.03"," "
"2002/03","S92000003","d",1,"SMR04"," ","9250"," ","924.4"," ","6360"," ","635.59"," ","1580"," ","157.9"," "
"2002/03","S92000003","d",2,"SMR04"," ","6980"," ","690.79"," ","4860"," ","480.98"," ","1360"," ","134.6"," "
"2002/03","S92000003","d",3,"SMR04"," ","5310"," ","522.42"," ","3670"," ","361.07"," ","1070"," ","105.27"," "
"2002/03","S92000003","d",4,"SMR04"," ","4100"," ","402.08"," ","2920"," ","286.36"," ","1070"," ","104.93"," "
"2002/03","S92000003","d",5,"SMR04"," ","2930"," ","287.6"," ","2090"," ","205.15"," ","660"," ","64.78"," "
"2003/04","S92000003","d",1,"SMR04"," ","8930"," ","900.14"," ","6270"," ","632.01"," ","1460"," ","147.17"," "
"2003/04","S92000003","d",2,"SMR04"," ","6760"," ","670.19"," ","4740"," ","469.92"," ","1290"," ","127.89"," "
"2003/04","S92000003","d",3,"SMR04"," ","5290"," ","519.45"," ","3680"," ","361.36"," ","1040"," ","102.12"," "
