"FinancialYear","HBT","HBTQF","Dataset","DatasetQF","ICD10Codes","DischargeCount","DischargeCountQF","DischargeRates","DischargeRatesQF","PatientsCount","PatientCountQF","PatientsRates","PatientRatesQF","HospitalResidentsCount","HospitalResidentsCountQF","HospitalResidentsRates","HospitalResidentsRatesQF"
"1997/98","S92000003","d","Total","d","F60 - F69","1230"," ","24.2"," ","850"," ","16.72"," ","140"," ","2.75"," "
"1997/98","S92000003","d","SMR01"," ","F60 - F69","60"," ","1.18"," ","50"," ","0.98"," "," ",":"," ",":"
"1997/98","S92000003","d","SMR04"," ","F60 - F69","1170"," ","23.02"," ","810"," ","15.93"," ","140"," ","2.75"," "
"1997/98","S92000003","d","Total","d","F10 - F19","11010"," ","216.59"," ","8230"," ","161.9"," ","490"," ","9.64"," "
"1997/98","S92000003","d","SMR01"," ","F10 - F19","5330"," ","104.85"," ","4350"," ","85.57"," "," ",":"," ",":"
"1997/98","S92000003","d","SMR04"," ","F10 - F19","5680"," ","111.74"," ","4300"," ","84.59"," ","490"," ","9.64"," "
"1997/98","S92000003","d","Total","d","F30 - F39","9460"," ","186.1"," ","7040"," ","138.49"," ","1180"," ","23.21"," "
"1997/98","S92000003","d","SMR01"," ","F30 - F39","570"," ","11.21"," ","490"," ","9.64"," "," ",":"," ",":"
"1997/98","S92000003","d","SMR04"," ","F30 - F39","8880"," ","174.69"," ","6670"," ","131.21"," ","1180"," ","23.21"," "
"1997/98","S92000003","d","Total","d","F40 - F49","3200"," ","62.95"," ","2760"," ","54.3"," ","170"," ","3.34"," "
"1997/98","S92000003","d","SMR01"," ","F40 - F49","750"," ","14.75"," ","670"," ","13.18"," "," ",":"," ",":"
"1997/98","S92000003","d","SMR04"," ","F40 - F49","2460"," ","48.39"," ","2100"," ","41.31"," ","170"," ","3.34"," "
"1997/98","S92000003","d","Total","d","F00 - F09 or Chapter G and second position F00","8900"," ","175.08"," ","6120"," ","120.39"," ","3160"," ","62.16"," "
"1997/98","S92000003","d","SMR01"," ","F00 - F09 or Chapter G and second position F00","2310"," ","45.44"," ","1870"," ","36.79"," "," ",":"," ",":"
"1997/98","S92000003","d","SMR04"," ","F00 - F09 or Chapter G and second position F00","6600"," ","129.84"," ","4490"," ","88.33"," ","3160"," ","62.16"," "
"1997/98","S92000003","d","Total","d","F50 - F59, F70 - F99","810"," ","15.93"," ","680"," ","13.38"," ","180"," ","3.54"," "
"1997/98","S92000003","d","SMR01"," ","F50 - F59, F70 - F99","370"," ","7.28"," ","310"," ","6.1"," "," ",":"," ",":"
"1997/98","S92000003","d","SMR04"," ","F50 - F59, F70 - F99","440"," ","8.66"," ","380"," ","7.48"," ","180"," ","3.54"," "
"1997/98","S92000003","d","Total","d","F20 - F29","6400"," ","125.9"," ","4270"," ","84"," ","2320"," ","45.64"," "
"1997/98","S92000003","d","SMR01"," ","F20 - F29","100"," ","1.97"," ","90"," ","1.77"," "," ",":"," ",":"
"1997/98","S92000003","d","SMR04"," ","F20 - F29","6300"," ","123.93"," ","4210"," ","82.82"," ","2320"," ","45.64"," "
"1998/99","S92000003","d","Total","d","F60 - F69","1360"," ","26.79"," ","930"," ","18.32"," ","140"," ","2.76"," "
"1998/99","S92000003","d","SMR01"," ","F60 - F69","50"," ","0.98"," ","50"," ","0.98"," "," ",":"," ",":"
"1998/99","S92000003","d","SMR04"," ","F60 - F69","1300"," ","25.61"," ","880"," ","17.33"," ","140"," ","2.76"," "
"1998/99","S92000003","d","Total","d","F10 - F19","10850"," ","213.71"," ","8100"," ","159.54"," ","450"," ","8.86"," "
"1998/99","S92000003","d","SMR01"," ","F10 - F19","5460"," ","107.54"," ","4340"," ","85.48"," "," ",":"," ",":"
"1998/99","S92000003","d","SMR04"," ","F10 - F19","5390"," ","106.16"," ","4180"," ","82.33"," ","450"," ","8.86"," "
